alert,title,snippet,date_published,url
fatwa,Commander of the Faithful Authorizes Public Release of Supreme Council of Religious ...,... fatwa concerning zakat and authorized its publication for public access. The council clarified in an official statement that the fatwa will be ...,2025-10-22,https://fesnews.media/312673/2025/10/22/
fatwa,Live: Royal and Public Welcome for the U-20 National Team - Tanja7 English,"Supreme Scientific Council Publishes Zakat Fatwa Following Approval from the Emir of the Believers. Tanja7. October 22, ...",2025-10-22,https://www.tanja7.com/en/5401
fatwa,Sheikh Saleh Al-Fawzan Appointed New Grand Mufti of Saudi Arabia,"Royal decree names prominent scholar as new Grand Mufti, Chairman of Senior Scholars Council, and head of Fatwa authority with ministerial rank.",2025-10-22,https://theislamicinformation.com/news/sheikh-saleh-al-fawzan-new-grand-mufti-of-saudi-arabia/
fatwa,Ulema & Mashaikh Council calls for promoting Islamic teachings,The communiqué also stated that fatwas and Sharia rulings may only be issued by recognized and authorized religious institutions or Darul Iftaa.,2025-10-22,https://www.radio.gov.pk/22-10-2025/national-ulema-mashaikh-council-calls-for-promotion-of-islamic-teachings
fatwa,"Iran, where one can change ones gender without any problems - ФАКТИ.БГ","Back in the 1980s, Ayatollah Ruhollah Khomeini issued a fatwa according to which a person can change their gender, but must undergo the appropriate ...",2025-10-23,https://fakti.bg/en/world/1009244-iran-where-one-can-change-one-s-gender-without-any-problems
fatwa,Malaysia's Islamic Authorities Risk Sowing Societal Confusion through Hasty Bans on Some ...,... fatwa on the assumption that they constitute not just respect for other religions but acceptance of the validity of other religions. Thus ...,2025-10-23,https://fulcrum.sg/malaysias-islamic-authorities-risk-sowing-societal-confusion-through-hasty-bans-on-some-new-age-practices/
fatwa,"Maulana Tauqeer Raza's daughter-in-law says, 'He is a mafia' Claims he has Pakistani wife","... Fatwa against Nida Khan. A city Qazi issued a fatwa against Nida Khan, expelling her and her family from Islam. They were socially ostracised ...",2025-10-23,https://www.bhaskarenglish.in/local/uttar-pradesh/news/maulana-raza-daughter-in-law-claims-he-has-pakistani-wife-threats-after-bareilly-violence-136237803.html
fatwa,Morocco's King Mohammed VI Approves Publication of National Religious Ruling on Zakat,"... (fatwa) on zakat, the Islamic obligation of charitable giving. The fatwa was prepared by the Supreme Council of Ulema, the country's highest ...",2025-10-23,https://barlamantoday.com/2025/10/23/moroccos-king-mohammed-vi-approves-publication-of-national-religious-ruling-on-zakat/
fatwa,Saudi Arabia Announces New Grand Mufti,"In 2016, Sheikh Saleh issued a fatwa banning the mobile game Pokémon Go, calling it a form of gambling. Interestingly, under Crown Prince ...",2025-10-23,https://propakistani.pk/2025/10/23/saudi-arabia-announces-new-grand-mufti/
fatwa,Saudi Arabia names Sheikh Saleh bin Fawzan al-Fawzan as new grand mufti,"In 2016, a fatwa attributed to him banned the mobile game Pokémon Go, calling it a form of gambling, while ironically, Crown Prince Mohammed now ...",2025-10-23,https://www.tbsnews.net/world/saudi-arabia-names-sheikh-saleh-bin-fawzan-al-fawzan-new-grand-mufti-1267361
